speaker	language	word_number	word	spontaneous_response	uncued	cue_semantic_correct	cue_semantic_incorrect	cue_phonemic_correct	cue_phonemic_incorrect
sub_01	english	1	hand		x				
sub_01	english	2	dog		x				
sub_01	english	3	tree		x				
sub_01	english	4	bed		x				
sub_01	english	5	door		x				
sub_01	english	6	sun		x				
sub_01	english	7	book		x				
sub_01	english	8	butterfly		x				
sub_01	english	9	scissors		x				
sub_01	english	10	key		x				
sub_01	english	11	chair		x				
sub_01	english	12	moon		x				
sub_01	english	13	airplane		x				
sub_01	english	14	apple		x				
sub_01	english	15	fish		x				
sub_01	english	16	grapes		x				
sub_01	english	17	horse		x				
sub_01	english	18	drum		x				
sub_01	english	19	glove		x				
sub_01	english	20	lightbulb		x				
sub_01	english	21	cake		x				
sub_01	english	22	watch		x				
sub_01	english	23	bear		x				
sub_01	english	24	fork		x				
sub_01	english	25	hat		x				
sub_01	english	26	leaf		x				
sub_01	english	27	tie		x				
sub_01	english	28	candle		x				
sub_01	english	29	basket		x				
sub_01	english	30	clown		x				
sub_01	english	31	kite		x				
sub_01	english	32	rainbow		x				
sub_01	english	33	witch		x				
sub_01	english	34	seesaw		x				
sub_01	english	35	flashlight		x				
sub_01	english	36	cloud		x				
sub_01	english	37	iron		x				
sub_01	english	38	feather		x				
sub_01	english	39	peacock		x				
sub_01	english	40	bridge	Golden Gate	x				
sub_01	english	41	bone		x				
sub_01	english	42	snail		x				
sub_01	english	43	zipper		x				
sub_01	english	44	lock		x				
sub_01	english	45	whale		x				
sub_01	english	46	nurse		x				
sub_01	english	47	cage		x				
sub_01	english	48	arrow		x				
sub_01	english	49	rake		x				
sub_01	english	50	saw		x				
sub_01	english	51	nest	Birds nest	x				
sub_01	english	52	plug		x				
sub_01	english	53	wig		x				
sub_01	english	54	screw		x				
sub_01	english	55	king		x				
sub_01	english	56	scarf		x				
sub_01	english	57	well		x				
sub_01	english	58	dustpan		x				
sub_01	english	59	parachute		x				
sub_01	english	60	blind	window, shutter	a				
sub_01	english	61	hinge		x				
sub_01	english	62	funnel		x				
sub_01	english	63	gauge, barometer, manometer	pressure, guage	x				
sub_01	english	64	porthole		x				
sub_01	english	65	anvil		x				
sub_01	english	66	mortar		x				
sub_01	english	67	pestle		x				
sub_01	english	68	axle		x				
sub_01	spanish	1	mano		x				
sub_01	spanish	2	perro		x				
sub_01	spanish	3	árbol		x				
sub_01	spanish	4	cama		x				
sub_01	spanish	5	puerta					x	
sub_01	spanish	6	sol		x				
sub_01	spanish	7	libro		x				
sub_01	spanish	8	mariposa		x				
sub_01	spanish	9	tijeras					x	
sub_01	spanish	10	llave	Llarves					x
sub_01	spanish	11	silla	sillon					x
sub_01	spanish	12	luna					x	
sub_01	spanish	13	avión						x
sub_01	spanish	14	manzana						x
sub_01	spanish	15	pescado, pez		x				
sub_01	spanish	16	uvas	uves					x
sub_01	spanish	17	caballo						x
sub_01	spanish	18	tambor						x
sub_01	spanish	19	guante					x	
