speaker	gender	time_stamp	sent_comment	sentence	phoneme	word	word_comment	duration_ms	context	word_number	language	feature	l_position	f1	f2	f3	f3_f2
sub_06	female	40.82447354	disf	cses_26	l	leeches	NA	84.33171416	cs	one	english	l_clarity	onset	368.5150938	1563.659424	2898.81157	1335.152146
sub_06	female	50.41446808	NA	cses_16	l	marfil	NA	98.61322052	cs	two	spanish	l_clarity	coda	381.3297909	1910	2904.59975	994.59975
sub_06	female	54.98366215	NA	cses_01	l	lapiz	NA	117.0448575	cs	two	spanish	l_clarity	onset	359.0659695	1821.015335	2921.648206	1100.632871
sub_06	female	60.45606901	disf	cses_29	l	meal	NA	88.3123103	cs	one	english	l_clarity	coda	668.0157902	1282.004712	3038.603831	1756.599119
sub_06	female	72.72536601	NA	cses_31	l	doll	NA	76.44538946	cs	one	english	l_clarity	coda	556.3313294	1023.705318	3002.977823	1979.272505
sub_06	female	86.4993599	NA	cses_14	l	pangal	NA	108.2892164	cs	two	spanish	l_clarity	coda	426.0640654	1568.545209	2900.688002	1332.142793
sub_06	female	91.70611555	NA	cses_03	l	libro	NA	47.0978056	cs	two	spanish	l_clarity	onset	329.3851026	2238.02761	2869.287323	631.2597129
sub_06	female	106.9397378	disf	cses_25	l	leases	NA	101.7454659	cs	one	english	l_clarity	onset	369.1254934	1384.162589	2836.362725	1452.200136
sub_06	female	127.9261496	disf	cses_02	l	latas	NA	51.86473858	cs	two	spanish	l_clarity	onset	472.9528334	1389.962983	2750.031525	1360.068542
sub_06	female	143.1213743	disf	cses_28	l	locket	NA	109.5691987	cs	one	english	l_clarity	onset	416.5791906	1374.568551	2900.977487	1526.408936
sub_06	female	152.9184984	NA	cses_13	l	panal	NA	67.03701086	cs	two	spanish	l_clarity	coda	508.1217208	1602.837036	2814.003979	1211.166944
sub_06	female	181.1837406	NA	cses_15	l	carril	NA	79.93505884	cs	two	spanish	l_clarity	coda	389.1157241	2016.527381	2892.489066	875.9616852
