"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"	"f1"	"f2"	"f3"	"f3_f2"
"1"	"sub_36"	"female"	65.268	"disf"	"s_15"	"l"	"carril"	NA	106.331320556635	"ml"	"two"	"spanish"	"l_clarity"	"coda"	381.051791953725	2538.35388420079	3111.47671533338	573.122831132592
"2"	"sub_36"	"female"	87.244	"disf"	"s_14"	"l"	"pangal"	NA	85.3572641842106	"ml"	"two"	"spanish"	"l_clarity"	"coda"	424.702250097423	1874.60735114201	3217.52228884755	1342.91493770554
"3"	"sub_36"	"female"	99.252	NA	"s_29"	"l"	"carril"	NA	130.447856577661	"ml"	"one"	"spanish"	"l_clarity"	"coda"	452.095923921446	2394.73170062423	3350.77154666865	956.039846044423
"4"	"sub_36"	"female"	116.54	NA	"s_30"	"l"	"marfil"	NA	151.647801149778	"ml"	"one"	"spanish"	"l_clarity"	"coda"	428.948343613288	2572.80506165498	3316.08492496071	743.279863305729
"5"	"sub_36"	"female"	121.98	NA	"s_28"	"l"	"latas"	NA	55.5912039040862	"ml"	"one"	"spanish"	"l_clarity"	"onset"	399.980213899415	1595.60850174922	2923.81246752055	1328.20396577133
"6"	"sub_36"	"female"	127.604	NA	"s_02"	"l"	"latas"	NA	86.395619349787	"ml"	"two"	"spanish"	"l_clarity"	"onset"	511.101219460072	1559.71142155568	3034.1834699548	1474.47204839911
"7"	"sub_36"	"female"	135.752258936951	NA	"s_04"	"l"	"lima"	NA	100.28452154873	"ml"	"two"	"spanish"	"l_clarity"	"onset"	403.592299733107	1677.4936671184	2740.64199300357	1063.14832588517
"8"	"sub_36"	"female"	141.412	"disf"	"s_13"	"l"	"panal"	NA	115.416887090788	"ml"	"two"	"spanish"	"l_clarity"	"coda"	476.600025160903	1774.29170654496	3134.51507524764	1360.22336870269
"9"	"sub_36"	"female"	155.588	NA	"s_31"	"l"	"panal"	NA	97.3762463102901	"ml"	"one"	"spanish"	"l_clarity"	"coda"	457.027138708943	1483.37756777364	2855.52262554895	1372.14505777531
"10"	"sub_36"	"female"	160.58	NA	"s_03"	"l"	"libro"	NA	66.5148023893494	"ml"	"two"	"spanish"	"l_clarity"	"onset"	358.978904379331	2296.98546727901	2912.83407677179	615.848609492784
"11"	"sub_36"	"female"	179.556	NA	"s_25"	"l"	"libro"	NA	72.8986450089053	"ml"	"one"	"spanish"	"l_clarity"	"onset"	362.435821182774	1685.24334293859	2794.11376070396	1108.87041776537
"12"	"sub_36"	"female"	185.668	NA	"s_16"	"l"	"marfil"	NA	36.3351600844908	"ml"	"two"	"spanish"	"l_clarity"	"coda"	428.50173977797	2545.87661421305	3074.8835356254	529.006921412348
"13"	"sub_36"	"female"	191.34	NA	"s_32"	"l"	"pangal"	NA	88.0221096894331	"ml"	"one"	"spanish"	"l_clarity"	"coda"	426.216361309631	1774.9827941366	2977.85700703921	1202.87421290261
"14"	"sub_36"	"female"	210.1	NA	"s_01"	"l"	"lapiz"	NA	127.43541694266	"ml"	"two"	"spanish"	"l_clarity"	"onset"	435.982313557239	1755.09300205126	3071.36554911037	1316.2725470591
"15"	"sub_36"	"female"	215.564	NA	"s_27"	"l"	"lapiz"	NA	135.981352562254	"ml"	"one"	"spanish"	"l_clarity"	"onset"	406.983297185568	1717.83645839475	2946.37567055729	1228.53921216255
"16"	"sub_36"	"female"	220.132	NA	"s_26"	"l"	"lima"	NA	141.257280089263	"ml"	"one"	"spanish"	"l_clarity"	"onset"	409.474263586312	2009.18411350322	2958.66345337452	949.479339871299
