context	word	language	word_onset	pre_onset	pre_onset_category	conditions_lenition
english	two	english	b	dz	aff	no
english	two	english	b	dz	aff	no
spanish	one	spanish	d	s	fricative	no
spanish	one	spanish	d	s	fricative	no
spanish	one	spanish	g	s	fricative	no
cs_se	one	spanish	d	s	fricative	no
cs_se	one	spanish	d	s	fricative	no
cs_se	one	spanish	g	s	fricative	no
spanish	two	spanish	g	s	fricative	no
spanish	two	spanish	d	s	fricative	no
spanish	two	spanish	d	s	fricative	no
cs_es	two	spanish	d	s	fricative	no
cs_es	two	spanish	d	s	fricative	no
english	one	english	g	v	fricative	no
cs_se	two	english	g	v	fricative	no
english	two	english	d	z	fricative	no
cs_se	two	english	b	z	fricative	no
english	one	english	b	w	glide	yes
spanish	one	spanish	b	l	lateral	yes
spanish	one	spanish	b	l	lateral	yes
spanish	one	spanish	b	l	lateral	yes
spanish	one	spanish	d	l	lateral	no
spanish	one	spanish	g	l	lateral	yes
spanish	one	spanish	g	l	lateral	yes
cs_se	one	spanish	b	l	lateral	yes
cs_se	one	spanish	b	l	lateral	yes
cs_se	one	spanish	b	l	lateral	yes
cs_se	one	spanish	g	l	lateral	yes
cs_se	one	spanish	g	l	lateral	yes
spanish	two	spanish	g	l	lateral	yes
spanish	two	spanish	g	l	lateral	yes
spanish	two	spanish	b	l	lateral	yes
cs_es	two	spanish	g	l	lateral	yes
cs_es	two	spanish	d	l	lateral	no
english	one	english	p	NA	NA	NA
english	one	english	p	NA	NA	NA
english	one	english	p	NA	NA	NA
english	one	english	p	NA	NA	NA
english	one	english	t	NA	NA	NA
english	one	english	t	NA	NA	NA
english	one	english	t	NA	NA	NA
english	one	english	t	NA	NA	NA
english	one	english	k	NA	NA	NA
english	one	english	k	NA	NA	NA
english	one	english	k	NA	NA	NA
english	one	english	k	NA	NA	NA
english	one	english	l	NA	NA	NA
english	one	english	l	NA	NA	NA
english	one	english	l	NA	NA	NA
english	one	english	l	NA	NA	NA
english	one	english	NA	NA	NA	NA
english	one	english	NA	NA	NA	NA
english	one	english	NA	NA	NA	NA
english	one	english	NA	NA	NA	NA
spanish	one	spanish	p	NA	NA	NA
spanish	one	spanish	p	NA	NA	NA
spanish	one	spanish	p	NA	NA	NA
spanish	one	spanish	p	NA	NA	NA
spanish	one	spanish	t	NA	NA	NA
spanish	one	spanish	t	NA	NA	NA
spanish	one	spanish	t	NA	NA	NA
spanish	one	spanish	k	NA	NA	NA
spanish	one	spanish	k	NA	NA	NA
spanish	one	spanish	k	NA	NA	NA
spanish	one	spanish	k	NA	NA	NA
spanish	one	spanish	k	NA	NA	NA
spanish	one	spanish	l	NA	NA	NA
spanish	one	spanish	l	NA	NA	NA
spanish	one	spanish	l	NA	NA	NA
spanish	one	spanish	l	NA	NA	NA
spanish	one	spanish	NA	NA	NA	NA
spanish	one	spanish	NA	NA	NA	NA
spanish	one	spanish	NA	NA	NA	NA
spanish	one	spanish	NA	NA	NA	NA
cs_es	one	english	p	NA	NA	NA
cs_es	one	english	p	NA	NA	NA
cs_es	one	english	p	NA	NA	NA
cs_es	one	english	p	NA	NA	NA
cs_es	one	english	t	NA	NA	NA
cs_es	one	english	t	NA	NA	NA
