word	f1	f2	f3
l_meal	647.9460665717813	1397.9600851310977	3412.070117084348
l_locker	476.03438185186025	1273.2168957290814	3158.58397629448
l_locket	429.93903521539863	1217.8383146392803	3191.610648341542
l_marfil	281.3911741938905	2075.5985729919444	2942.364708477188
l_doll	669.8907724572161	1058.038658463363	3268.624748910921
l_ball	668.96467640873	1457.2815465847643	3156.8247437846444
l_lapiz	347.3493368343235	1711.0960093762567	2811.183388749238
l_latas	394.1080112052356	1499.4584577620092	2978.607124060554
l_wheel	661.3409956719647	1392.1235049614554	3170.898150955055
l_carril	326.94430552788134	1787.669062372958	2875.025453070217
l_leeches	408.4220303577952	1400.2107821890759	3069.9302371980807
l_lima	386.3686163127625	1946.082655722715	2944.5106839099476
l_leases	356.91801348787845	1254.7497733216517	3049.816786845046
l_pangal	466.8184593664707	1622.873878004368	2966.606156047838
l_panal	439.78902013975875	1611.1215019304855	2946.4219381635467
l_libro	300.0685908868584	2000.1307824703188	3043.604481678037
l_marfil	284.5075702902557	2068.966143530191	2856.989223367732
l_locket	422.2477020642197	1298.7317645655662	2944.0709833968485
l_locker	438.75409112978264	1475.7958868373025	2906.7983071551557
l_pangal	382.2241007915323	1654.6950223417875	3047.2031533420277
l_leeches	363.04277496219686	1272.970559092174	2955.7852189464365
l_libro	265.2291933226364	1698.0751952240687	2841.0709877656964
l_panal	337.9580629402852	1771.8383470566873	2670.8504543520094
l_lapiz	350.70921813614814	2024.4945152107346	2832.500336717646
l_meal	660.8492477655733	1441.547506676874	3379.288723662678
l_wheel	594.1316644035437	1412.83979595557	3247.4855415562834
l_latas	465.24441551365504	1601.8945254865916	3181.7622249589476
l_lima	366.73866024389395	1939.7560402743636	3048.87448413669
l_ball	710.5487530189259	1477.507564476347	3186.2016818975644
l_leases	469.04035219785584	1245.4852457295729	3081.484153187104
l_doll	739.4829122570492	1097.5986553772227	3330.91319706175
l_carril	273.8293958242983	1805.6037878426685	3151.506023144474
l_wheel	506.03234263956017	1138.5739405430695	3218.978939482621
l_lima	362.215756928721	2135.457323783797	3076.7826444761326
l_panal	349.87393102736934	2093.350340850349	2875.515947543436
l_marfil	246.97128993767987	2118.197955246411	2942.513634424172
l_ball	489.8120464762096	1057.9709870892545	3283.039104303461
l_leeches	279.7076166420104	1340.829181209326	3298.958996244651
l_pangal	276.7766082612881	2056.8276630711484	2795.3560371346616
l_meal	350.4569340080605	1194.1311516221317	3249.0827469894207
l_leases	241.3430077934016	1837.4497765299145	3045.547348519119
l_lapiz	441.8663891427115	1672.3403095911308	2992.0513738416716
l_locker	302.0540789382409	1267.0822427929836	3146.4204959444805
l_latas	385.38472044402033	1552.3934434548016	3035.4584518836723
l_doll	623.170457354005	1132.1876120743964	3302.543288054674
l_locket	453.6213178928683	1192.360789518263	3549.2826083130253
l_carril_disf	1087.5816306677866	2230.0711681641424	3292.358159824582
l_libro	374.5310284150527	2136.892922685955	3073.8032989797416
l_pangal	858.9859093517027	1861.429974001139	3142.4202171328725
l_doll	476.115126292996	941.5904385936055	3459.464717221766
l_locker	318.02999625141393	1264.2472088443712	3203.7515366077528
l_wheel	450.87783363509845	1330.545537899706	3147.876278409549
l_latas	550.2236907648019	1747.796833519311	3031.2625993599686
l_leeches	279.71741423775745	1492.8317691772047	3112.6740449394706
l_locket	301.4315236695872	1359.946779705285	3226.6291149235353
l_marfil	287.9396125111632	2338.722984227894	2861.141695257886
l_carril	392.17161195975797	2592.265689269761	3129.160720226255
l_panal	344.72647378597657	2357.860583875331	2744.4155107780416
l_ball	592.3462892415935	1091.7222117970373	3466.3928978236936
