"speaker"	"gender"	"time_stamp"	"sent_comment"	"sentence"	"phoneme"	"word"	"word_comment"	"duration_ms"	"context"	"word_number"	"language"	"feature"	"l_position"
"1"	"sub_36"	"female"	40.708	NA	"s_05"	"t"	"tinta"	NA	15.4416745272314	"ml"	"one"	"spanish"	"VOT"	NA
"2"	"sub_36"	"female"	45.516	"disf"	"s_19"	"k"	"quiste"	NA	72.1197409751326	"ml"	"two"	"spanish"	"VOT"	NA
"3"	"sub_36"	"female"	53.6442753112108	NA	"s_22"	"t"	"talla"	NA	12.6629076577913	"ml"	"two"	"spanish"	"VOT"	NA
"4"	"sub_36"	"female"	59.436	NA	"s_23"	"t"	"tina"	NA	27.022374163721	"ml"	"two"	"spanish"	"VOT"	NA
"5"	"sub_36"	"female"	71.228	"disf"	"s_21"	"t"	"taza"	NA	12.6171714438925	"ml"	"two"	"spanish"	"VOT"	NA
"6"	"sub_36"	"female"	76.932	NA	"s_07"	"t"	"talla"	NA	20.2120154278873	"ml"	"one"	"spanish"	"VOT"	NA
"7"	"sub_36"	"female"	82.404	NA	"s_24"	"t"	"tinta"	NA	17.1916548463003	"ml"	"two"	"spanish"	"VOT"	NA
"8"	"sub_36"	"female"	91.988	"disf"	"s_12"	"k"	"cama"	NA	21.5359841763245	"ml"	"one"	"spanish"	"VOT"	NA
"9"	"sub_36"	"female"	104.388	"disf"	"s_11"	"k"	"caja"	NA	24.223320324154	"ml"	"one"	"spanish"	"VOT"	NA
"10"	"sub_36"	"female"	110.38	"disf"	"s_20"	"k"	"quicio"	NA	83.5918536664622	"ml"	"two"	"spanish"	"VOT"	NA
"11"	"sub_36"	"female"	121.98	NA	"s_28"	"p"	"pinzas"	NA	14.4346952360479	"ml"	"two"	"spanish"	"VOT"	NA
"12"	"sub_36"	"female"	127.604	NA	"s_02"	"p"	"piso"	NA	19.2229749925872	"ml"	"one"	"spanish"	"VOT"	NA
"13"	"sub_36"	"female"	135.752258936951	NA	"s_04"	"p"	"pavo"	NA	8.91921232189929	"ml"	"one"	"spanish"	"VOT"	NA
"14"	"sub_36"	"female"	150.008048835231	NA	"s_06"	"t"	"tina"	NA	19.6007411134076	"ml"	"one"	"spanish"	"VOT"	NA
"15"	"sub_36"	"female"	160.58	NA	"s_03"	"p"	"pato"	NA	9.46800270716608	"ml"	"one"	"spanish"	"VOT"	NA
"16"	"sub_36"	"female"	166.394686289153	NA	"s_10"	"k"	"quiste"	NA	37.2988694831804	"ml"	"one"	"spanish"	"VOT"	NA
"17"	"sub_36"	"female"	173.952944706921	NA	"s_18"	"k"	"caja"	NA	19.4985866074262	"ml"	"two"	"spanish"	"VOT"	NA
"18"	"sub_36"	"female"	179.556	NA	"s_25"	"p"	"pavo"	NA	13.7002636305112	"ml"	"two"	"spanish"	"VOT"	NA
"19"	"sub_36"	"female"	196.228	"disf"	"s_17"	"k"	"cama"	NA	21.88491875728	"ml"	"two"	"spanish"	"VOT"	NA
"20"	"sub_36"	"female"	204.092	"disf"	"s_09"	"k"	"quicio"	NA	39.9130669571832	"ml"	"one"	"spanish"	"VOT"	NA
"21"	"sub_36"	"female"	210.1	NA	"s_01"	"p"	"pinzas"	NA	11.8042717942615	"ml"	"one"	"spanish"	"VOT"	NA
"22"	"sub_36"	"female"	215.564	NA	"s_27"	"p"	"piso"	NA	16.1637318060173	"ml"	"two"	"spanish"	"VOT"	NA
"23"	"sub_36"	"female"	220.132	NA	"s_26"	"p"	"pato"	NA	9.72737179856153	"ml"	"two"	"spanish"	"VOT"	NA
"24"	"sub_36"	"female"	229.508	NA	"s_04"	"p"	"pavo"	NA	6.64198467825372	"ml"	"one"	"spanish"	"VOT"	NA
"25"	"sub_36"	"female"	233.916	NA	"s_10"	"k"	"quiste"	NA	50.7846293816954	"ml"	"one"	"spanish"	"VOT"	NA
"26"	"sub_36"	"female"	239.735324406034	NA	"s_18"	"k"	"caja"	NA	21.1759542606273	"ml"	"two"	"spanish"	"VOT"	NA
"27"	"sub_36"	"female"	245.012	"disf"	"s_23"	"t"	"tina"	NA	19.7206093751845	"ml"	"two"	"spanish"	"VOT"	NA
"28"	"sub_36"	"female"	250.02	NA	"s_27"	"p"	"piso"	NA	25.5706496360233	"ml"	"two"	"spanish"	"VOT"	NA
"29"	"sub_36"	"female"	261.644	NA	"s_22"	"t"	"talla"	NA	11.792838434701	"ml"	"two"	"spanish"	"VOT"	NA
"30"	"sub_36"	"female"	266.38	NA	"s_26"	"p"	"pato"	NA	12.4277406038118	"ml"	"two"	"spanish"	"VOT"	NA
"31"	"sub_36"	"female"	271.116	NA	"s_07"	"t"	"talla"	NA	17.2632135202662	"ml"	"one"	"spanish"	"VOT"	NA
"32"	"sub_36"	"female"	275.636	"disf"	"s_17"	"k"	"cama"	NA	22.1824533893482	"ml"	"two"	"spanish"	"VOT"	NA
"33"	"sub_36"	"female"	281.532	"disf"	"s_19"	"k"	"quiste"	NA	53.0757000847188	"ml"	"two"	"spanish"	"VOT"	NA
"34"	"sub_36"	"female"	286.956	NA	"s_21"	"t"	"taza"	NA	12.5608548479477	"ml"	"two"	"spanish"	"VOT"	NA
"35"	"sub_36"	"female"	291.612	"disf"	"s_05"	"t"	"tinta"	NA	20.8568638219617	"ml"	"one"	"spanish"	"VOT"	NA
"36"	"sub_36"	"female"	296.932	"disf"	"s_12"	"k"	"cama"	NA	23.3720329058542	"ml"	"one"	"spanish"	"VOT"	NA
"37"	"sub_36"	"female"	319.14	NA	"s_03"	"p"	"pato"	NA	12.9518317334032	"ml"	"one"	"spanish"	"VOT"	NA
"38"	"sub_36"	"female"	329.164	NA	"s_24"	"t"	"tinta"	NA	16.8511308853567	"ml"	"two"	"spanish"	"VOT"	NA
"39"	"sub_36"	"female"	339.444289033639	"disf"	"s_11"	"k"	"caja"	NA	30.5963988806752	"ml"	"one"	"spanish"	"VOT"	NA
"40"	"sub_36"	"female"	350.564	NA	"s_01"	"p"	"pinzas"	NA	32.9184893551542	"ml"	"one"	"spanish"	"VOT"	NA
"41"	"sub_36"	"female"	355.676	"disf"	"s_06"	"t"	"tina"	NA	19.8581573229148	"ml"	"one"	"spanish"	"VOT"	NA
"42"	"sub_36"	"female"	361.716	NA	"s_28"	"p"	"pinzas"	NA	11.0729231614641	"ml"	"two"	"spanish"	"VOT"	NA
"43"	"sub_36"	"female"	379.308130131433	"disf"	"s_09"	"k"	"quicio"	NA	73.0384787866569	"ml"	"one"	"spanish"	"VOT"	NA
"44"	"sub_36"	"female"	384.108	"disf"	"s_02"	"p"	"piso"	NA	11.7085717907912	"ml"	"one"	"spanish"	"VOT"	NA
"45"	"sub_36"	"female"	389.492	NA	"s_25"	"p"	"pavo"	NA	8.06469060023574	"ml"	"two"	"spanish"	"VOT"	NA
"46"	"sub_36"	"female"	393.916	NA	"s_20"	"k"	"quicio"	NA	49.324722963604	"ml"	"two"	"spanish"	"VOT"	NA
"47"	"sub_36"	"female"	428.74	NA	"e_02"	"p"	"peacock"	NA	81.2401550906543	"ml"	"one"	"english"	"VOT"	NA
"48"	"sub_36"	"female"	434.948	NA	"e_04"	"p"	"polish"	NA	70.9372240213497	"ml"	"one"	"english"	"VOT"	NA
"49"	"sub_36"	"female"	439.028	NA	"e_12"	"k"	"cockroach"	NA	99.050318745185	"ml"	"one"	"english"	"VOT"	NA
"50"	"sub_36"	"female"	443.052	NA	"e_26"	"p"	"pocket"	NA	39.6319525909803	"ml"	"two"	"english"	"VOT"	NA
"51"	"sub_36"	"female"	447.162138318563	NA	"e_17"	"k"	"cockroach"	NA	81.074779243977	"ml"	"two"	"english"	"VOT"	NA
"52"	"sub_36"	"female"	451.332	NA	"e_28"	"p"	"peaches"	NA	38.6923473675438	"ml"	"two"	"english"	"VOT"	NA
"53"	"sub_36"	"female"	456.124	NA	"e_27"	"p"	"peacock"	NA	38.2254331241825	"ml"	"two"	"english"	"VOT"	NA
"54"	"sub_36"	"female"	461.236	"disf"	"e_20"	"k"	"keepsake"	NA	85.5708167968601	"ml"	"two"	"english"	"VOT"	NA
"55"	"sub_36"	"female"	474.588	NA	"e_23"	"t"	"teacher"	NA	86.9404466320702	"ml"	"two"	"english"	"VOT"	NA
"56"	"sub_36"	"female"	479.676	NA	"e_06"	"t"	"teapot"	NA	78.5600227778218	"ml"	"one"	"english"	"VOT"	NA
"57"	"sub_36"	"female"	483.972	NA	"e_11"	"k"	"carpet"	NA	75.3945831306737	"ml"	"one"	"english"	"VOT"	NA
"58"	"sub_36"	"female"	492.116	NA	"e_09"	"k"	"keepsake"	NA	93.4030085969653	"ml"	"one"	"english"	"VOT"	NA
"59"	"sub_36"	"female"	496.364	NA	"e_18"	"k"	"carpet"	NA	78.605315545019	"ml"	"two"	"english"	"VOT"	NA
