sentence	context	word	word_number	language	feature	phoneme	l_position
cses_01	cs	lapiz	two	spanish	l_clarity	l	onset
cses_01	cs	peaches	one	english	VOT	p	NA
cses_02	cs	latas	two	spanish	l_clarity	l	onset
cses_02	cs	peacock	one	english	VOT	p	NA
cses_03	cs	libro	two	spanish	l_clarity	l	onset
cses_03	cs	pocket	one	english	VOT	p	NA
cses_04	cs	lima	two	spanish	l_clarity	l	onset
cses_04	cs	polish	one	english	VOT	p	NA
cses_05	cs	gafas	two	spanish	lenition	g	NA
cses_05	cs	teacher	one	english	VOT	t	NA
cses_06	cs	gato	two	spanish	lenition	g	NA
cses_06	cs	teapot	one	english	VOT	t	NA
cses_07	cs	guiso	two	spanish	lenition	g	NA
cses_07	cs	toddler	one	english	VOT	t	NA
cses_08	cs	guita	two	spanish	lenition	g	NA
cses_08	cs	toffee	one	english	VOT	t	NA
cses_09	cs	dados	two	spanish	lenition	d	NA
cses_09	cs	keepsake	one	english	VOT	k	NA
cses_10	cs	damas	two	spanish	lenition	d	NA
cses_10	cs	keyboard	one	english	VOT	k	NA
cses_11	cs	dedo	two	spanish	lenition	d	NA
cses_11	cs	carpet	one	english	VOT	k	NA
cses_12	cs	deuda	two	spanish	lenition	d	NA
cses_12	cs	cockroach	one	english	VOT	k	NA
cses_13	cs	panal	two	spanish	l_clarity	l	coda
cses_13	cs	beaver	one	english	lenition	b	NA
cses_14	cs	pangal	two	spanish	l_clarity	l	coda
cses_14	cs	beetle	one	english	lenition	b	NA
cses_15	cs	carril	two	spanish	l_clarity	l	coda
cses_15	cs	bonnet	one	english	lenition	b	NA
cses_16	cs	marfil	two	spanish	l_clarity	l	coda
cses_16	cs	boxes	one	english	lenition	b	NA
cses_17	cs	dealer	one	english	lenition	d	NA
cses_17	cs	caja	two	spanish	VOT	k	NA
cses_18	cs	decoy	one	english	lenition	d	NA
cses_18	cs	cama	two	spanish	VOT	k	NA
cses_19	cs	donkey	one	english	lenition	d	NA
cses_19	cs	quicio	two	spanish	VOT	k	NA
cses_20	cs	dollhouse	one	english	lenition	d	NA
cses_20	cs	quiste	two	spanish	VOT	k	NA
cses_21	cs	garbage	one	english	lenition	g	NA
cses_21	cs	talla	two	spanish	VOT	t	NA
cses_22	cs	garlic	one	english	lenition	g	NA
cses_22	cs	taza	two	spanish	VOT	t	NA
cses_23	cs	godson	one	english	lenition	g	NA
cses_23	cs	tinta	two	spanish	VOT	t	NA
cses_24	cs	garment	one	english	lenition	g	NA
cses_24	cs	tina	two	spanish	VOT	t	NA
cses_25	cs	leases	one	english	l_clarity	l	onset
cses_25	cs	pato	two	spanish	VOT	p	NA
cses_26	cs	leeches	one	english	l_clarity	l	onset
cses_26	cs	pavo	two	spanish	VOT	p	NA
cses_27	cs	locker	one	english	l_clarity	l	onset
cses_27	cs	pinzas	two	spanish	VOT	p	NA
cses_28	cs	locket	one	english	l_clarity	l	onset
cses_28	cs	piso	two	spanish	VOT	p	NA
cses_29	cs	meal	one	english	l_clarity	l	coda
cses_29	cs	vaca	two	spanish	lenition	b	NA
cses_30	cs	wheel	one	english	l_clarity	l	coda
cses_30	cs	vaso	two	spanish	lenition	b	NA
cses_31	cs	doll	one	english	l_clarity	l	coda
cses_31	cs	bicho	two	spanish	lenition	b	NA
cses_32	cs	ball	one	english	l_clarity	l	coda
cses_32	cs	vino	two	spanish	lenition	b	NA
csse_01	cs	locket	two	english	l_clarity	l	onset
csse_01	cs	pinzas	one	spanish	VOT	p	NA
csse_02	cs	locker	two	english	l_clarity	l	onset
csse_02	cs	piso	one	spanish	VOT	p	NA
csse_03	cs	leeches	two	english	l_clarity	l	onset
csse_03	cs	pato	one	spanish	VOT	p	NA
csse_04	cs	leases	two	english	l_clarity	l	onset
csse_04	cs	pavo	one	spanish	VOT	p	NA
csse_05	cs	garment	two	english	lenition	g	NA
csse_05	cs	tinta	one	spanish	VOT	t	NA
csse_06	cs	godson	two	english	lenition	g	NA
csse_06	cs	tina	one	spanish	VOT	t	NA
csse_07	cs	garlic	two	english	lenition	g	NA
csse_07	cs	talla	one	spanish	VOT	t	NA
csse_08	cs	garbage	two	english	lenition	g	NA
csse_08	cs	taza	one	spanish	VOT	t	NA
csse_09	cs	dollhouse	two	english	lenition	d	NA
csse_09	cs	quicio	one	spanish	VOT	k	NA
csse_10	cs	donkey	two	english	lenition	d	NA
csse_10	cs	quiste	one	spanish	VOT	k	NA
csse_11	cs	decoy	two	english	lenition	d	NA
csse_11	cs	caja	one	spanish	VOT	k	NA
csse_12	cs	dealer	two	english	lenition	d	NA
csse_12	cs	cama	one	spanish	VOT	k	NA
csse_13	cs	ball	two	english	l_clarity	l	coda
csse_13	cs	bicho	one	spanish	lenition	b	NA
csse_14	cs	doll	two	english	l_clarity	l	coda
csse_14	cs	vino	one	spanish	lenition	b	NA
csse_15	cs	wheel	two	english	l_clarity	l	coda
csse_15	cs	vaca	one	spanish	lenition	b	NA
csse_16	cs	meal	two	english	l_clarity	l	coda
csse_16	cs	vaso	one	spanish	lenition	b	NA
csse_17	cs	dedo	one	spanish	lenition	d	NA
csse_17	cs	cockroach	two	english	VOT	k	NA
csse_18	cs	deuda	one	spanish	lenition	d	NA
csse_18	cs	carpet	two	english	VOT	k	NA
csse_19	cs	dados	one	spanish	lenition	d	NA
csse_19	cs	keyboard	two	english	VOT	k	NA
csse_20	cs	damas	one	spanish	lenition	d	NA
csse_20	cs	keepsake	two	english	VOT	k	NA
csse_21	cs	guiso	one	spanish	lenition	g	NA
csse_21	cs	toffee	two	english	VOT	t	NA
csse_22	cs	guita	one	spanish	lenition	g	NA
csse_22	cs	toddler	two	english	VOT	t	NA
csse_23	cs	gafas	one	spanish	lenition	g	NA
csse_23	cs	teapot	two	english	VOT	t	NA
csse_24	cs	gato	one	spanish	lenition	g	NA
csse_24	cs	teacher	two	english	VOT	t	NA
csse_25	cs	libro	one	spanish	l_clarity	l	onset
csse_25	cs	polish	two	english	VOT	p	NA
csse_26	cs	lima	one	spanish	l_clarity	l	onset
csse_26	cs	pocket	two	english	VOT	p	NA
csse_27	cs	lapiz	one	spanish	l_clarity	l	onset
csse_27	cs	peacock	two	english	VOT	p	NA
csse_28	cs	latas	one	spanish	l_clarity	l	onset
csse_28	cs	peaches	two	english	VOT	p	NA
csse_29	cs	carril	one	spanish	l_clarity	l	coda
csse_29	cs	boxes	two	english	lenition	b	NA
csse_30	cs	marfil	one	spanish	l_clarity	l	coda
csse_30	cs	bonnet	two	english	lenition	b	NA
csse_31	cs	panal	one	spanish	l_clarity	l	coda
csse_31	cs	beetle	two	english	lenition	b	NA
csse_32	cs	pangal	one	spanish	l_clarity	l	coda
csse_32	cs	beaver	two	english	lenition	b	NA
e_01	ml	locker	two	english	l_clarity	l	onset
e_01	ml	peaches	one	english	VOT	p	NA
e_02	ml	locket	two	english	l_clarity	l	onset
e_02	ml	peacock	one	english	VOT	p	NA
e_03	ml	leases	two	english	l_clarity	l	onset
e_03	ml	pocket	one	english	VOT	p	NA
e_04	ml	leeches	two	english	l_clarity	l	onset
e_04	ml	polish	one	english	VOT	p	NA
e_05	ml	garbage	two	english	lenition	g	NA
e_05	ml	teacher	one	english	VOT	t	NA
e_06	ml	garlic	two	english	lenition	g	NA
e_06	ml	teapot	one	english	VOT	t	NA
e_07	ml	godson	two	english	lenition	g	NA
e_07	ml	toddler	one	english	VOT	t	NA
e_08	ml	garment	two	english	lenition	g	NA
e_08	ml	toffee	one	english	VOT	t	NA
e_09	ml	donkey	two	english	lenition	d	NA
e_09	ml	keepsake	one	english	VOT	k	NA
e_10	ml	dollhouse	two	english	lenition	d	NA
e_10	ml	keyboard	one	english	VOT	k	NA
e_11	ml	dealer	two	english	lenition	d	NA
e_11	ml	carpet	one	english	VOT	k	NA
e_12	ml	decoy	two	english	lenition	d	NA
e_12	ml	cockroach	one	english	VOT	k	NA
e_13	ml	doll	two	english	l_clarity	l	coda
e_13	ml	beaver	one	english	lenition	b	NA
e_14	ml	ball	two	english	l_clarity	l	coda
e_14	ml	beetle	one	english	lenition	b	NA
e_15	ml	meal	two	english	l_clarity	l	coda
e_15	ml	bonnet	one	english	lenition	b	NA
e_16	ml	wheel	two	english	l_clarity	l	coda
e_16	ml	boxes	one	english	lenition	b	NA
e_17	ml	dealer	one	english	lenition	d	NA
e_17	ml	cockroach	two	english	VOT	k	NA
e_18	ml	decoy	one	english	lenition	d	NA
e_18	ml	carpet	two	english	VOT	k	NA
e_19	ml	donkey	one	english	lenition	d	NA
e_19	ml	keyboard	two	english	VOT	k	NA
e_20	ml	dollhouse	one	english	lenition	d	NA
e_20	ml	keepsake	two	english	VOT	k	NA
e_21	ml	garbage	one	english	lenition	g	NA
e_21	ml	toddler	two	english	VOT	t	NA
e_22	ml	garlic	one	english	lenition	g	NA
e_22	ml	toffee	two	english	VOT	t	NA
e_23	ml	godson	one	english	lenition	g	NA
e_23	ml	teacher	two	english	VOT	t	NA
e_24	ml	garment	one	english	lenition	g	NA
e_24	ml	teapot	two	english	VOT	t	NA
e_25	ml	leases	one	english	l_clarity	l	onset
e_25	ml	polish	two	english	VOT	p	NA
e_26	ml	leeches	one	english	l_clarity	l	onset
e_26	ml	pocket	two	english	VOT	p	NA
e_27	ml	locker	one	english	l_clarity	l	onset
e_27	ml	peacock	two	english	VOT	p	NA
e_28	ml	locket	one	english	l_clarity	l	onset
e_28	ml	peaches	two	english	VOT	p	NA
e_29	ml	meal	one	english	l_clarity	l	coda
e_29	ml	boxes	two	english	lenition	b	NA
e_30	ml	wheel	one	english	l_clarity	l	coda
e_30	ml	bonnet	two	english	lenition	b	NA
e_31	ml	doll	one	english	l_clarity	l	coda
e_31	ml	beetle	two	english	lenition	b	NA
e_32	ml	ball	one	english	l_clarity	l	coda
e_32	ml	beaver	two	english	lenition	b	NA
s_01	ml	lapiz	two	spanish	l_clarity	l	onset
s_01	ml	pinzas	one	spanish	VOT	p	NA
s_02	ml	latas	two	spanish	l_clarity	l	onset
s_02	ml	piso	one	spanish	VOT	p	NA
s_03	ml	libro	two	spanish	l_clarity	l	onset
s_03	ml	pato	one	spanish	VOT	p	NA
s_04	ml	lima	two	spanish	l_clarity	l	onset
s_04	ml	pavo	one	spanish	VOT	p	NA
s_05	ml	gafas	two	spanish	lenition	g	NA
s_05	ml	tinta	one	spanish	VOT	t	NA
s_06	ml	gato	two	spanish	lenition	g	NA
s_06	ml	tina	one	spanish	VOT	t	NA
s_07	ml	guiso	two	spanish	lenition	g	NA
s_07	ml	talla	one	spanish	VOT	t	NA
s_08	ml	guita	two	spanish	lenition	g	NA
s_08	ml	copa	one	spanish	VOT	k	NA
s_09	ml	dados	two	spanish	lenition	d	NA
s_09	ml	quicio	one	spanish	VOT	k	NA
s_10	ml	damas	two	spanish	lenition	d	NA
s_10	ml	quiste	one	spanish	VOT	k	NA
s_11	ml	dedo	two	spanish	lenition	d	NA
s_11	ml	caja	one	spanish	VOT	k	NA
s_12	ml	deuda	two	spanish	lenition	d	NA
